timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,
2050-01-05 18:00:00+00:00,12087.287,17559.829,7931.4175,1350,2526.55055554629,36401.9833809641,0,,,,
2050-01-05 19:00:00+00:00,12087.287,17559.829,7549.1892,1350,2689.19702090618,35857.1086558733,0,,,,
2050-01-05 20:00:00+00:00,12087.287,17559.829,6187.2744,1350,2822.28788553738,34362.1029625706,0,,,,
2050-01-05 21:00:00+00:00,12087.287,17559.829,2876.5032,1350,2519.84161550356,31353.7779828758,0,,,,
2050-01-05 22:00:00+00:00,12087.287,17559.829,0,-1103.8404,1844.05189822776,26699.2241748614,0,,,,
2050-01-05 23:00:00+00:00,12087.287,13498.668,0,-1350,1095.55177670523,23140.4034662561,0,,,,
2050-01-06 00:00:00+00:00,12087.287,9287.267,0,-1350,765.725778388972,19258.828344785,0,,,,
2050-01-06 01:00:00+00:00,4375.0119,17559.829,0,-1350,880.140404522868,19704.7008735699,0,,,,
2050-01-06 02:00:00+00:00,4852.4346,17559.829,0,-1350,851.128771905716,20211.135185443,0,,,,
2050-01-06 03:00:00+00:00,6267.2957,17559.829,0,-1350,964.455461816467,21512.66955373,0,,,,
2050-01-06 04:00:00+00:00,9175.3492,17559.829,0,-1350,1655.83893162399,23729.3396083842,0,,,,
2050-01-06 05:00:00+00:00,12087.287,17559.829,2606.3323,1350,3483.02781839303,30120.420951239,0,,,,
2050-01-06 06:00:00+00:00,12087.287,17559.829,8980.188,1350,4568.24420097841,35409.0602546421,0,,,,
2050-01-06 07:00:00+00:00,12087.287,17559.829,7583.2779,1350,4302.96908523531,34277.4252598693,0,,,,
2050-01-06 08:00:00+00:00,12087.287,17559.829,7283.0075,1350,3363.35483384728,34916.7691136698,0,,,,
2050-01-06 09:00:00+00:00,12087.287,17559.829,5778.9357,1350,3236.79158655496,33539.2605324666,0,,,,
2050-01-06 10:00:00+00:00,12087.287,17559.829,4210.6756,1350,3014.85259703374,32192.9394563269,0,,,,
2050-01-06 11:00:00+00:00,12087.287,17559.829,2834.255,1350,2975.142924889,30856.2284834916,0,,,,
2050-01-06 12:00:00+00:00,12087.287,17559.829,1991.1044,1350,2881.94305510639,30106.2777803382,0,,,,
2050-01-06 13:00:00+00:00,12087.287,17559.829,1539.2482,1350,2390.92117306109,30145.4434843713,0,,,,
2050-01-06 14:00:00+00:00,7151.4475,17559.829,6810.1721,1350,2299.53453031705,30571.9144838435,0,,,,
2050-01-06 15:00:00+00:00,7044.6264,17559.829,7390.7894,1350,2089.74416195428,31255.5010773852,0,,,,
2050-01-06 16:00:00+00:00,12087.287,17559.829,3569.6999,1350,2230.63190285132,32336.1843923741,0,,,,
2050-01-06 17:00:00+00:00,12087.287,17559.829,4278.6716,1350,2532.35288206971,32743.4351852374,0,,,,
2050-01-06 18:00:00+00:00,12087.287,17559.829,4168.4274,1350,2530.17700962342,32635.3668537384,0,,,,
2050-01-06 19:00:00+00:00,12087.287,17559.829,3746.1268,1350,2693.91141120647,32049.331874872,0,,,,
2050-01-06 20:00:00+00:00,12087.287,17559.829,2521.292,1350,2825.73301691066,30692.6754046124,0,,,,
2050-01-06 21:00:00+00:00,12087.287,17559.829,0,702.49641,2523.46806958071,27826.1447793339,0,,,,
2050-01-06 22:00:00+00:00,12087.287,14095.764,0,-1350,1847.49702960105,22985.5538771621,0,,,,
