timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,,
2050-01-06 06:00:00+00:00,14334.729,18646.874,6095.7016,900,4568.24420097841,35409.0602546421,0,,,,,
2050-01-06 07:00:00+00:00,14334.729,18646.874,4698.7915,900,4302.96908523531,34277.4252598693,0,,,,,
2050-01-06 08:00:00+00:00,14334.729,18646.874,4398.5211,900,3363.35483384728,34916.7691136698,0,,,,,
2050-01-06 09:00:00+00:00,14334.729,18646.874,2894.4492,900,3236.79158655496,33539.2605324666,0,,,,,
2050-01-06 10:00:00+00:00,14334.729,18646.874,1326.1892,900,3014.85259703374,32192.9394563269,0,,,,,
2050-01-06 11:00:00+00:00,14334.729,18646.874,0,849.76853,2975.142924889,30856.2284834916,0,,,,,
2050-01-06 12:00:00+00:00,14334.729,18646.874,0,6.6179569,2881.94305510639,30106.2777803382,0,,,,,
2050-01-06 13:00:00+00:00,12989.49,18646.874,0,900,2390.92117306109,30145.4434843713,0,,,,,
2050-01-06 14:00:00+00:00,4324.3097,18646.874,9000.265,900,2299.53453031705,30571.9144838435,0,,,,,
2050-01-06 15:00:00+00:00,2882.8921,18646.874,10915.479,900,2089.74416195428,31255.5010773852,0,,,,,
2050-01-06 16:00:00+00:00,7737.3244,18646.874,7282.6176,900,2230.63190285132,32336.1843923741,0,,,,,
2050-01-06 17:00:00+00:00,12763.649,18646.874,2965.2643,900,2532.35288206971,32743.4351852374,0,,,,,
2050-01-06 18:00:00+00:00,14334.729,18646.874,1283.941,900,2530.17700962342,32635.3668537384,0,,,,,
2050-01-06 19:00:00+00:00,14334.729,18646.874,861.64041,900,2693.91141120647,32049.331874872,0,,,,,
2050-01-06 20:00:00+00:00,14334.729,18646.874,0,536.80554,2825.73301691066,30692.6754046124,0,,,,,
2050-01-06 21:00:00+00:00,12602.739,18646.874,0,-900,2523.46806958071,27826.1447793339,0,,,,,
2050-01-06 22:00:00+00:00,7086.1766,18646.874,0,-900,1847.49702960105,22985.5538771621,0,,,,,
2050-01-06 23:00:00+00:00,3125.9074,18646.874,0,-900,1098.99690807851,19773.7848237395,0,,,,,
2050-01-07 00:00:00+00:00,0,16283.6,0,-900,792.742861263696,14590.8566566852,0,,,,,
2050-01-07 01:00:00+00:00,14334.729,2592.5666,0,-900,881.228340746011,15146.0667758959,0,,,,,
2050-01-07 02:00:00+00:00,0,17351.59,0,-900,847.683640532428,15603.9066031353,0,,,,,
2050-01-07 03:00:00+00:00,0,18516.226,0,-900,950.312290915606,16665.913679627,0,,,,,
2050-01-07 04:00:00+00:00,2758.5476,18646.874,0,-900,1609.78296484426,18895.638968959,0,,,,,
2050-01-07 05:00:00+00:00,0,5119.2932,22913.378,0,3419.20222663529,24613.469112392,0,,,,,
2050-01-07 06:00:00+00:00,0,8095.6021,24797.873,900,4476.31359012279,29317.1613731516,0,,,,,
2050-01-07 07:00:00+00:00,0,7065.6892,24797.873,900,4273.41348450657,28490.148520859,0,,,,,
2050-01-07 08:00:00+00:00,0,6105.2228,24797.873,900,3372.78361444786,28430.3120285861,0,,,,,
2050-01-07 09:00:00+00:00,0,4797.3421,24797.873,900,3243.86317200537,27251.3518081066,0,,,,,
2050-01-07 10:00:00+00:00,0,3457.186,24797.873,900,2988.7421276783,26166.3167482251,0,,,,,
2050-01-07 11:00:00+00:00,0,2244.1371,24797.873,900,2944.49938793714,24997.5105991615,0,,,,,
2050-01-07 12:00:00+00:00,0,1422.564,24797.873,900,2857.10184467796,24263.3349712437,0,,,,,
2050-01-07 13:00:00+00:00,0,2628.0164,24217.173,0,2402.70714881181,24442.4818026546,0,,,,,
2050-01-07 14:00:00+00:00,0,11051.955,16067.576,0,2280.49564641205,24839.0345559903,0,,,,,
2050-01-07 15:00:00+00:00,1425.6155,18646.874,6602.3417,900,2071.97453697627,25502.8569748115,0,,,,,
2050-01-07 16:00:00+00:00,9037.5322,18646.874,125.5051,900,2210.68640542703,26499.2252325069,0,,,,,
2050-01-07 17:00:00+00:00,10779.443,18646.874,0,0,2537.06727237,26889.2503685038,0,,,,,
2050-01-07 18:00:00+00:00,10920.694,18646.874,0,0,2541.96298537414,27025.6050418044,0,,,,,
2050-01-07 19:00:00+00:00,10649.072,18646.874,0,0,2729.45066116248,26566.4959556379,0,,,,,
2050-01-07 20:00:00+00:00,9707.2822,18646.874,0,0,2841.14544673853,25513.0110462276,0,,,,,
2050-01-07 21:00:00+00:00,7032.4097,18646.874,0,0,2556.46880168271,23122.8151639819,0,,,,,
2050-01-07 22:00:00+00:00,1662.7191,18646.874,0,0,1846.40909337791,18463.1843202595,0,,,,,
2050-01-07 23:00:00+00:00,14334.729,2163.099,0,0,1096.63971292837,15401.187820223,0,,,,,
2050-01-08 00:00:00+00:00,11345.362,0,0,0,861.282843321718,10484.0787370234,0,,,,,
2050-01-08 01:00:00+00:00,0,11739.557,0,0,900.085901947159,10839.4712365835,0,,,,,
2050-01-08 02:00:00+00:00,12122.692,0,0,0,768.626941650688,11354.0650701303,0,,,,,
2050-01-08 03:00:00+00:00,13280.619,0,0,0,946.86715954232,12333.7516390707,0,,,,,
2050-01-08 04:00:00+00:00,0,16092.934,0,0,1580.22736411553,14512.7065713227,0,,,,,
2050-01-08 05:00:00+00:00,14334.729,8380.706,0,-211.11111,3177.31773968978,19327.0056814353,0,,,,,
2050-01-08 06:00:00+00:00,9043.5552,18646.874,0,-900,4425.54323304278,22364.8862618588,0,,,,,
2050-01-08 07:00:00+00:00,6048.8199,18646.874,0,900,4216.84080090314,21378.8533982833,0,,,,,
2050-01-08 08:00:00+00:00,5960.6111,18646.874,0,0,3292.45765663911,21315.0278065257,0,,,,,
2050-01-08 09:00:00+00:00,14334.729,8917.7323,0,0,3131.80574102163,20120.6551562183,0,,,,,
2050-01-08 10:00:00+00:00,3195.4399,18646.874,0,0,3008.86894780644,18833.445281536,0,,,,,
2050-01-08 11:00:00+00:00,2588.1902,18646.874,0,0,2840.60147862696,18394.4630154977,0,,,,,
2050-01-08 12:00:00+00:00,1883.2075,18646.874,0,0,2769.70430141878,17760.377520109,0,,,,,
2050-01-08 13:00:00+00:00,1296.0846,18646.874,0,0,2305.88082495206,17637.0780814862,0,,,,,
2050-01-08 14:00:00+00:00,1186.5657,18646.874,0,0,2419.93280567825,17413.5071876302,0,,,,,
2050-01-08 15:00:00+00:00,1755.5563,18646.874,0,0,2175.87244628645,18226.558191726,0,,,,,
2050-01-08 16:00:00+00:00,2860.7182,18646.874,0,0,2304.97421143277,19202.6183065892,0,,,,,
2050-01-08 17:00:00+00:00,3989.0894,18646.874,0,0,2495.72569589056,20140.2380082349,0,,,,,
2050-01-08 18:00:00+00:00,14334.729,8723.717,0,0,2499.3521499677,20559.0934541449,0,,,,,
2050-01-08 19:00:00+00:00,4280.6563,18646.874,0,0,2618.48116640188,20309.0494455259,0,,,,,
2050-01-08 20:00:00+00:00,4178.5198,18646.874,0,-512.91008,2724.37362545449,19588.1103749896,0,,,,,
2050-01-08 21:00:00+00:00,14334.729,6807.2315,0,-900,2502.07199052556,17739.8880545732,0,,,,,
2050-01-08 22:00:00+00:00,0,16785.863,0,-900,1799.08386767118,14086.7795399622,0,,,,,
2050-01-08 23:00:00+00:00,13449.888,0,0,-900,1057.83665430293,11492.0516477656,0,,,,,
2050-01-09 00:00:00+00:00,0,11990.966,0,-900,808.155291091558,10282.8105357419,0,,,,,
2050-01-09 01:00:00+00:00,0,12900.843,0,-900,940.33954220346,11060.5036125855,0,,,,,
