timeindex,acaes_NDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,tes_NDE,tes_SDE
2050-01-07 17:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,6882.8024
2050-01-07 18:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,3283.9324
2050-01-07 19:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,0.0
2050-01-07 20:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,3690.0
2050-01-07 21:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,7380.0
2050-01-07 22:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,11070.0
2050-01-07 23:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,14760.0
2050-01-08 00:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,18450.0
2050-01-08 01:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,22140.0
2050-01-08 02:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,25830.0
2050-01-08 03:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,29520.0
2050-01-08 04:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,33210.0
2050-01-08 05:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,190.0,36900.0
2050-01-08 06:00:00+00:00,0.0,0.0,0.0,11.163333,0.0,1000.0,40590.0
2050-01-08 07:00:00+00:00,0.0,0.0,0.0,11.276667,2.7423333,0.0,44280.0
2050-01-08 08:00:00+00:00,0.0,0.0,0.0,23.63,301.65667,0.0,47970.0
2050-01-08 09:00:00+00:00,0.0,0.0,0.0,56.156667,1088.7063,0.0,51660.0
2050-01-08 10:00:00+00:00,0.0,0.0,0.0,106.64667,2310.4158,0.0,55350.0
2050-01-08 11:00:00+00:00,0.0,0.0,0.0,173.17333,3920.1655,0.0,59040.0
2050-01-08 12:00:00+00:00,0.0,0.0,0.0,235.22333,5421.593,0.0,62730.0
2050-01-08 13:00:00+00:00,0.0,0.0,0.0,271.88667,6308.7378,0.0,66420.0
2050-01-08 14:00:00+00:00,0.0,0.0,0.0,280.95333,6528.1245,0.0,70110.0
2050-01-08 15:00:00+00:00,0.0,0.0,0.0,280.95333,6528.1245,0.0,73800.0
2050-01-08 16:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,0.0,77490.0
2050-01-08 17:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,0.0,81180.0
2050-01-08 18:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,0.0,84870.0
2050-01-08 19:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,0.0,88560.0
2050-01-08 20:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,461.61907,92250.0
2050-01-08 21:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,1271.6191,95940.0
2050-01-08 22:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,2081.6191,99630.0
2050-01-08 23:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,2891.6191,103320.0
