timeindex,hydro_SDE,onshore_SDE,pv_SDE,chp_SDE,li-ion_SDE,phs_SDE,import,electricity_SDE,excess_SDE
2050-01-05 10:00:00+00:00,2909.9804,12594.314,79947.339,26730.632,-12833.0,0.0,0.0,66870.91105659939,948.0896
2050-01-05 11:00:00+00:00,2925.8424,11986.202,88688.539,20033.852,-12833.0,0.0,0.0,67616.08730042476,1655.0823
2050-01-05 12:00:00+00:00,2941.7044,12549.134,81340.638,15641.648,-10374.232,0.0,6805.0052,67373.6328427044,0.0
2050-01-05 13:00:00+00:00,2957.5664,15257.857,58495.205,12864.695,0.0,0.0,18634.858,66679.91626317664,0.0
2050-01-05 14:00:00+00:00,2973.4284,23715.865,25390.733,14117.271,8673.9421,0.0,32000.0,65340.974121740735,0.0
2050-01-05 15:00:00+00:00,2989.2904,36930.236,684.97379,19673.021,12833.0,0.0,32000.0,64667.049720789124,0.0
2050-01-05 16:00:00+00:00,3005.1524,48080.348,0.0,23190.672,1010.7034,0.0,32000.0,65756.61023205661,0.0
2050-01-05 17:00:00+00:00,3021.0144,52582.25,0.0,26817.412,0.0,0.0,29076.99,69967.40045668125,0.0
2050-01-05 18:00:00+00:00,3036.8764,53063.65,0.0,25208.711,-1901.6265,0.0,32000.0,69877.34595410578,0.0
2050-01-05 19:00:00+00:00,3052.7384,54140.7,0.0,23482.94,-2695.7839,0.0,32000.0,68450.32843789746,0.0
2050-01-05 20:00:00+00:00,3068.6004,55499.216,0.0,17333.854,0.0,0.0,29821.622,64193.026593619245,0.0
2050-01-05 21:00:00+00:00,3084.4624,54668.839,0.0,2385.6256,10045.521,0.0,32000.0,60654.18155208899,0.0
2050-01-05 22:00:00+00:00,3100.3244,53339.923,0.0,0.0,7133.7468,0.0,32000.0,59905.04678249354,0.0
2050-01-05 23:00:00+00:00,3116.1864,53318.632,0.0,0.0,0.0,0.0,29112.867,56438.44328282029,0.0
2050-01-06 00:00:00+00:00,3132.0484,54699.478,0.0,0.0,-12110.396,0.0,32000.0,53487.42648532694,0.0
2050-01-06 01:00:00+00:00,3145.7258,56892.526,0.0,0.0,0.0,0.0,16126.673,51282.57554058806,0.0
2050-01-06 02:00:00+00:00,3159.4032,60336.592,0.0,0.0,0.0,0.0,11489.824,49550.7582041446,0.0
2050-01-06 03:00:00+00:00,3173.0806,63788.967,0.0,0.0,-12833.0,0.0,21514.052,48570.054765099645,0.0
2050-01-06 04:00:00+00:00,3186.7579,66826.413,0.0,0.0,-12833.0,0.0,21975.054,48715.52745774328,0.0
2050-01-06 05:00:00+00:00,3200.4353,67338.972,0.0,1165.7965,-243.01006,0.0,19039.908,48971.83644046714,0.0
2050-01-06 06:00:00+00:00,3214.1127,69883.074,0.0,29943.941,-12833.0,0.0,2929.306,51607.16762945353,0.0
2050-01-06 07:00:00+00:00,3227.7901,70303.715,389.18966,23636.851,0.0,0.0,229.07488,56256.35505981116,0.0
2050-01-06 08:00:00+00:00,3241.4675,66887.692,3985.3021,22281.121,0.0,0.0,4156.9978,59022.31471745491,0.0
2050-01-06 09:00:00+00:00,3255.1449,64662.966,9184.8759,15490.193,0.0,0.0,9406.21,60469.12441223888,0.0
2050-01-06 10:00:00+00:00,3268.8223,63786.89,14143.152,8409.4532,-12833.0,0.0,26916.306,62161.35739153004,0.0
2050-01-06 11:00:00+00:00,3282.4996,65245.632,16322.614,2194.8738,-12833.0,0.0,31082.171,63764.52547717434,0.0
2050-01-06 12:00:00+00:00,3296.177,65410.773,14516.774,0.0,669.49605,0.0,21322.402,63685.35667281556,0.0
2050-01-06 13:00:00+00:00,3309.8544,60272.717,8842.389,0.0,12833.0,0.0,17188.19,62503.76244111442,0.0
2050-01-06 14:00:00+00:00,3323.5318,60884.983,2529.7328,0.0,12833.0,0.0,22274.897,61245.96823184084,0.0
2050-01-06 15:00:00+00:00,3337.2092,65862.573,0.0,0.0,12833.0,0.0,19999.265,60501.78159694408,0.0
2050-01-06 16:00:00+00:00,3350.8866,73553.04,0.0,5515.4289,12833.0,0.0,7675.2887,61397.37857805712,0.0
2050-01-06 17:00:00+00:00,3364.5639,81625.2,0.0,8716.4572,12555.419,0.0,0.0,64731.37439121579,0.0
2050-01-06 18:00:00+00:00,3378.2413,88589.152,0.0,8218.7014,5840.0184,0.0,0.0,64495.84719599669,0.0
2050-01-06 19:00:00+00:00,3391.9187,97375.883,0.0,6312.002,0.0,0.0,-3214.9987,62334.5391341797,0.0
2050-01-06 20:00:00+00:00,3405.5961,103240.45,0.0,781.83682,-1673.9288,0.0,-5145.9601,59077.732907522106,0.0
2050-01-06 21:00:00+00:00,3419.2735,105139.57,0.0,0.0,-9789.7157,0.0,-2328.0691,57226.17271058478,0.0
2050-01-06 22:00:00+00:00,3432.9509,104199.62,0.0,0.0,-12833.0,0.0,0.0,55847.6461219424,5173.6613
2050-01-06 23:00:00+00:00,3446.6282,102462.53,0.0,0.0,-12833.0,0.0,0.0,51687.3260427414,12195.368
2050-01-07 00:00:00+00:00,3460.3056,93799.392,0.0,0.0,-12833.0,0.0,0.0,47989.15378356448,17576.672
2050-01-07 01:00:00+00:00,3469.5335,84495.428,0.0,0.0,-12833.0,0.0,0.0,46361.245474700176,9164.6381
2050-01-07 02:00:00+00:00,3478.7613,74250.993,0.0,0.0,-11939.211,0.0,0.0,45693.258727321125,0.0
2050-01-07 03:00:00+00:00,3487.9891,64885.75,0.0,0.0,-12230.772,0.0,10955.301,45652.684761240154,0.0
2050-01-07 04:00:00+00:00,3497.217,55044.819,0.0,0.0,0.0,0.0,13343.904,47095.5360203091,0.0
2050-01-07 05:00:00+00:00,3506.4448,45426.153,0.0,0.0,715.58025,0.0,31313.492,49127.20522239836,0.0
2050-01-07 06:00:00+00:00,3515.6726,37871.746,0.0,23652.115,-777.80462,0.0,21260.302,53395.39276489328,0.0
2050-01-07 07:00:00+00:00,3524.9005,33148.099,311.35172,19674.025,11554.138,6114.047,16444.123,58936.21865059438,0.0
2050-01-07 08:00:00+00:00,3534.1283,31936.548,3759.5721,19437.491,10158.332,8227.0,16588.471,61807.07703480034,0.0
2050-01-07 09:00:00+00:00,3543.3561,31095.265,8538.821,13532.372,11933.945,8227.0,18130.507,63166.80105379518,0.0
2050-01-07 10:00:00+00:00,3552.5839,31925.123,12531.907,7481.5281,11950.017,8227.0,20374.177,64207.870727551366,0.0
2050-01-07 11:00:00+00:00,3561.8118,34431.834,14796.991,2004.577,10947.162,8227.0,23069.498,65204.407909457055,0.0
2050-01-07 12:00:00+00:00,3571.0396,36597.877,13660.557,0.0,7763.8116,8227.0,26826.969,65249.93001023665,0.0
2050-01-07 13:00:00+00:00,3580.2674,38961.259,9223.7948,0.0,3372.3985,8227.0,32000.0,64286.04992298153,0.0
2050-01-07 14:00:00+00:00,3589.4953,42582.929,3152.4362,0.0,4669.7996,8227.0,32000.0,62825.38570319405,0.0
2050-01-07 15:00:00+00:00,3598.7231,50825.942,31.135172,0.0,7658.7752,0.0,32000.0,62280.110643095766,0.0
2050-01-07 16:00:00+00:00,3607.9509,57581.131,0.0,2164.3465,0.0,317.80345,32000.0,63836.76701903184,0.0
2050-01-07 17:00:00+00:00,3617.1788,60618.058,0.0,2810.5224,0.0,0.0,32000.0,66430.53463300869,0.0
2050-01-07 18:00:00+00:00,3626.4066,60498.617,0.0,2617.7877,0.0,0.0,32000.0,65766.50632134468,0.0
2050-01-07 19:00:00+00:00,3635.6344,61242.788,0.0,111.23578,0.0,0.0,32000.0,63456.75683015285,0.0
2050-01-07 20:00:00+00:00,3644.8623,61720.034,0.0,0.0,0.0,0.0,29057.544,59682.38459340349,0.0
2050-01-07 21:00:00+00:00,3654.0901,59752.368,0.0,0.0,0.0,0.0,24593.961,57220.23505701165,0.0
2050-01-07 22:00:00+00:00,3663.3179,57294.991,0.0,0.0,0.0,0.0,19883.512,56278.12645624503,0.0
2050-01-07 23:00:00+00:00,3672.5457,55978.02,0.0,0.0,0.0,0.0,12946.605,52446.35681157028,0.0
2050-01-08 00:00:00+00:00,3681.7736,56075.131,0.0,0.0,0.0,0.0,3605.5858,49176.68566883827,0.0
2050-01-08 01:00:00+00:00,3690.4535,56107.848,0.0,0.0,0.0,0.0,1834.5011,46990.637383801324,0.0
2050-01-08 02:00:00+00:00,3699.1335,56916.414,0.0,0.0,0.0,0.0,202.02628,45731.853565599034,0.0
2050-01-08 03:00:00+00:00,3707.8135,57754.581,0.0,0.0,0.0,0.0,0.0,44931.25913170569,104.88342
2050-01-08 04:00:00+00:00,3716.4934,57915.048,0.0,0.0,0.0,0.0,3028.298,44977.7707513595,0.0
2050-01-08 05:00:00+00:00,3725.1734,60321.532,0.0,0.0,0.0,0.0,7276.5673,44218.73998253043,0.0
2050-01-08 06:00:00+00:00,3733.8533,65513.597,0.0,0.0,0.0,0.0,6593.6604,43613.09868772058,0.0
2050-01-08 07:00:00+00:00,3742.5333,70971.548,186.81103,0.0,0.0,0.0,2843.4189,47060.89970780093,0.0
2050-01-08 08:00:00+00:00,3751.2132,72265.67,8780.1186,0.0,0.0,0.0,0.0,51291.482111001686,3966.1567
2050-01-08 09:00:00+00:00,3759.8932,73646.516,26433.761,0.0,0.0,0.0,0.0,53799.15356806384,18092.601
2050-01-08 10:00:00+00:00,3768.5732,74697.6,46368.056,0.0,0.0,0.0,0.0,55218.25421284131,39300.085
2050-01-08 11:00:00+00:00,3777.2531,74793.153,57849.15,0.0,0.0,0.0,0.0,56097.02784216452,54687.417
2050-01-08 12:00:00+00:00,3785.9331,75370.626,58611.962,0.0,0.0,0.0,0.0,56347.39917131573,56602.169
2050-01-08 13:00:00+00:00,3794.613,78937.769,44453.242,0.0,0.0,0.0,0.0,54973.82053726323,44094.798
2050-01-08 14:00:00+00:00,3803.293,83724.772,16633.966,0.0,0.0,0.0,0.0,53645.76409404449,22526.051
2050-01-08 15:00:00+00:00,3811.9729,87169.357,233.51379,0.0,0.0,0.0,0.0,53726.91211626098,12816.76
2050-01-08 16:00:00+00:00,3820.6529,85751.121,0.0,0.0,0.0,0.0,0.0,55664.56829000466,3978.8236
2050-01-08 17:00:00+00:00,3829.3329,82256.162,0.0,0.0,0.0,0.0,1438.6815,60267.24401065408,0.0
2050-01-08 18:00:00+00:00,3838.0128,77361.662,0.0,0.0,0.0,0.0,6799.7542,60253.38948565059,0.0
2050-01-08 19:00:00+00:00,3846.6928,73055.021,0.0,0.0,0.0,0.0,8801.67,58108.904775623414,0.0
2050-01-08 20:00:00+00:00,3855.3727,66829.529,0.0,0.0,0.0,0.0,10048.152,53850.6133224161,0.0
2050-01-08 21:00:00+00:00,3864.0527,58526.276,0.0,0.0,0.0,0.0,13717.078,51622.01176338564,0.0
2050-01-08 22:00:00+00:00,3872.7326,53278.645,0.0,0.0,0.0,0.0,13728.91,51437.94432251929,0.0
2050-01-08 23:00:00+00:00,3881.4126,52069.171,0.0,0.0,0.0,0.0,7566.4058,47936.70442028341,0.0
2050-01-09 00:00:00+00:00,3890.0926,51305.785,0.0,0.0,0.0,0.0,2789.4626,44094.04916744655,0.0
2050-01-09 01:00:00+00:00,3897.1011,52238.466,0.0,0.0,0.0,0.0,211.39847,41402.31017946335,0.0
2050-01-09 02:00:00+00:00,3904.1097,54095.001,0.0,0.0,-12833.0,0.0,9685.4648,40279.102874561766,0.0
2050-01-09 03:00:00+00:00,3911.1182,56768.93,0.0,0.0,-4507.7932,0.0,0.0,40052.48224975653,0.0
2050-01-09 04:00:00+00:00,3918.1267,58116.54,0.0,0.0,-5459.8347,0.0,3770.0978,40295.926226351454,0.0
2050-01-09 05:00:00+00:00,3925.1353,58077.592,0.0,0.0,-12833.0,0.0,18718.31,40047.53420511254,0.0
2050-01-09 06:00:00+00:00,3932.1438,56667.664,0.0,0.0,0.0,0.0,8535.6468,38289.98694646573,0.0
2050-01-09 07:00:00+00:00,3939.1524,54067.477,2140.5431,0.0,0.0,0.0,8660.5712,39665.544708321504,0.0
2050-01-09 08:00:00+00:00,3946.1609,47820.174,12975.583,0.0,0.0,0.0,5724.9822,42703.647181604276,0.0
2050-01-09 09:00:00+00:00,3953.1695,40288.616,24596.786,0.0,-12833.0,0.0,16475.994,46099.988447332275,0.0
2050-01-09 10:00:00+00:00,3960.178,35363.996,34723.501,0.0,-12833.0,0.0,12859.023,49208.35315456021,0.0
2050-01-09 11:00:00+00:00,3967.1866,31137.848,35859.935,0.0,-12833.0,0.0,18832.199,52857.044967296744,0.0
2050-01-09 12:00:00+00:00,3974.1951,25163.702,28605.44,0.0,-12833.0,0.0,31360.325,52807.5644308022,0.0
2050-01-09 13:00:00+00:00,3981.2037,20523.664,17747.048,0.0,0.0,0.0,32000.0,51347.88981994334,0.0
2050-01-09 14:00:00+00:00,3988.2122,18112.506,6460.5483,0.0,2658.2243,8227.0,32000.0,49915.92425909147,0.0
